job_item	job_links	job_info	job_salary	job_origin
1	医药数据产品和拍卖数据产品各一名	https://www.hellobi.com/job/187	北京集团总部|3-5年经验|本科	20-40K	京东
2	上海+万得资讯+机器学习带头人	https://www.hellobi.com/job/185	上海 南京|5-10年经验|硕士	20-60K	万得资讯
3	上海+万得资讯+量化产品经理带头人	https://www.hellobi.com/job/184	上海|3-5年经验|硕士	20-30K	万得资讯
4	上海+万得资讯+交易产品经理	https://www.hellobi.com/job/186	上海|3-5年经验|本科	15-25K	万得资讯
5	大数据售前/售后技术支持	https://www.hellobi.com/job/183	上海|1-3年经验|本科	15-25K	宜嘉科技
6	上海-菲斯科-BI架构师	https://www.hellobi.com/job/182	上海|3-5年经验|本科	15-25K	菲斯科软件
7	北京、上海-铂金智慧-售前咨询（解决方案）	https://www.hellobi.com/job/180	北京 上海|3-5年经验|本科	8-20K	铂金智慧
8	北京-埃睿迪-大数据架构师	https://www.hellobi.com/job/181	北京|5-10年经验|本科	16-30K	iReadyIT
9	运营开发工程师	https://www.hellobi.com/job/178	深圳|3-5年经验|本科	20-40K	腾讯
10	​高级数据运营工程师	https://www.hellobi.com/job/179	深圳|3-5年经验|本科	20-40K	腾讯
11	前端开发工程师	https://www.hellobi.com/job/177	深圳|3-5年经验|本科	20-40K	腾讯
12	数据产品专家	https://www.hellobi.com/job/176	上海|3-5年经验|本科	25-40K	蜻蜓FM
13	数据分析助理	https://www.hellobi.com/job/175	杭州|1-3年经验|本科	8-15K	立和传播
14	数据分析师（资深）	https://www.hellobi.com/job/174	杭州|5-10年经验|本科	15-30K	立和传播
15	高级Python数据与爬虫工程师（带团队）	https://www.hellobi.com/job/172	北京|5-10年经验|本科	25-35K	随行付
16	爬虫工程师	https://www.hellobi.com/job/173	北京|3-5年经验|本科	15-25K	随行付
17	数据库开发工程师	https://www.hellobi.com/job/171	广州|应届生经验|本科	5-10K	华胜
18	数据分析师	https://www.hellobi.com/job/170	广州|应届生经验|本科	8-10K	华胜
19	国际化推广经理	https://www.hellobi.com/job/169	北京|3-5年经验|不限	10-20K	润乾
20	文档&专利工程师	https://www.hellobi.com/job/168	北京|不限经验|本科	10-20K	润乾
21	高级文档与培训师	https://www.hellobi.com/job/167	北京|不限经验|本科	20-30K	润乾
22	系统与算法程序员	https://www.hellobi.com/job/166	北京|不限经验|本科	20-30K	润乾
23	丰田汽车金融风险管理部 零售信用风险实习生 Retail credit risk intern	https://www.hellobi.com/job/165	北京|不限经验|本科	2-3K	丰田汽车
24	大数据产品经理	https://www.hellobi.com/job/164	上海|3-5年经验|本科	15-30K	美团点评
25	数据开发工程师	https://www.hellobi.com/job/163	上海|3-5年经验|本科	15-30K	美团点评
26	数据分析师	https://www.hellobi.com/job/162	上海|3-5年经验|本科	15-30K	美团点评
27	机器学习/算法工程师	https://www.hellobi.com/job/161	上海|3-5年经验|本科	15-30K	大众点评
28	数据分析工程师	https://www.hellobi.com/job/160	上海|3-5年经验|本科	15-30K	大众点评
29	政府行业区域销售副总监	https://www.hellobi.com/job/159	北京|5-10年经验|大专	20-30K	永洪科技
30	销售总监	https://www.hellobi.com/job/158	上海|5-10年经验|本科	15-25K	达观数据
31	推荐算法研发工程师	https://www.hellobi.com/job/29	上海|3-5年经验|本科	15-30K	达观数据
32	NLP自然语言处理研发工程师	https://www.hellobi.com/job/28	上海|3-5年经验|硕士	15-30K	达观数据
33	上海-菲斯科-R语言开发工程师	https://www.hellobi.com/job/157	上海|3-5年经验|本科	15-25K	菲斯科软件
34	上海-菲斯科-微软BI初、中、高级工程师	https://www.hellobi.com/job/38	上海|1-3年经验|本科	10-25K	菲斯科软件
35	易立德咨询-成都-BI项目经理	https://www.hellobi.com/job/156	成都|5-10年经验|本科	15-30K	易立德咨询
36	北京-云游九州-CTO / 架构师	https://www.hellobi.com/job/155	北京-海淀区|5-10年经验|本科	20-30K	云游九州
37	北京-云游九州-中高级算法工程师（C/C++）	https://www.hellobi.com/job/154	北京-海淀区|3-5年经验|本科	15-25K	云游九州
38	大数据开发	https://www.hellobi.com/job/153	上海|3-5年经验|本科	15-25K	证通股份
39	BO高级顾问	https://www.hellobi.com/job/152	上海|5-10年经验|本科	15-20K	柯内特
40	北京-欧立腾-数据工程师（ETL）	https://www.hellobi.com/job/151	北京|应届生经验|本科	10-12K	欧立腾
