日期	上证50	沪深300	中证500	创业	医药	酿酒	证券	特斯拉	半导体	5G	通设	消费	银行	保险	有色	房地产
2019/11/22	10	5	3	11	20	15	2	16	19	10	4	9	19	28	7	18
2019/11/29	7	3	3	11	15	15	4	22	26	12	4	9	14	24	12	15
2019/12/6	3	2	3	12	10	19	4	24	33	18	9	9	7	18	13	12
2019/12/13	4	2	3	10	10	19	9	20	32	16	13	8	1	25	13	11
2019/12/20	3	1	7	10	6	14	16	25	29	16	13	2	3	18	16	17
2019/12/27	3	2	10	7	3	14	16	24	33	16	13	1	3	11	23	17
2020/1/3	1	2	12	7	0	8	23	27	32	15	18	1	3	7	23	17
2020/1/10	1	2	9	10	0	12	22	27	39	18	15	3	3	7	16	12
2020/1/17	1	2	9	15	2	12	19	22	39	22	19	6	2	7	11	8
2020/1/23	1	2	10	16	5	8	19	26	39	21	16	6	2	7	10	8
2020/2/7	0	2	12	22	10	8	14	29	40	19	12	10	2	0	10	6
2020/2/14	0	2	8	22	10	8	9	28	45	22	12	10	0	0	14	6
2020/2/21	0	1	6	22	10	4	13	26	46	27	18	10	0	0	7	6
2020/2/28	3	3	4	22	14	4	6	23	40	24	18	9	6	0	7	13
2020/3/6	4	3	6	17	18	7	12	17	33	21	17	7	6	0	12	16
2020/3/13	4	3	6	12	16	9	15	16	32	20	20	4	10	0	12	17
2020/3/20	6	3	10	12	20	9	15	10	25	15	18	5	16	0	15	17
2020/3/27	10	4	8	6	20	16	15	7	18	14	18	3	16	6	15	20
2020/4/3	11	3	8	8	20	22	13	8	20	14	18	7	16	6	8	14
2020/4/10	13	3	10	11	27	28	9	5	13	9	12	7	16	7	12	14
2020/4/17	10	1	11	16	23	31	9	11	20	10	7	7	10	11	12	7
2020/4/24	9	2	13	18	24	31	3	11	20	10	7	13	10	11	10	4
2020/4/30	9	2	13	18	24	29	2	15	21	11	0	13	9	16	10	4
2020/5/8	7	2	8	14	17	35	2	18	28	15	5	14	3	16	8	4
2020/5/15	3	1	11	16	17	34	2	18	35	19	5	13	3	10	8	1
2020/5/22	6	2	11	14	22	35	2	13	28	16	5	9	9	12	11	1
2020/5/29	4	2	9	13	17	36	2	19	28	16	5	9	9	11	12	4
2020/6/5	4	2	8	8	17	35	2	17	28	20	8	10	9	12	12	4
2020/6/12	4	1	5	12	19	31	2	22	28	20	8	8	9	12	11	4
2020/6/19	4	1	5	13	23	31	5	20	21	21	14	11	6	7	11	3
2020/6/24	4	2	5	17	23	30	11	17	21	19	9	12	6	7	10	3
2020/7/3	7	4	2	15	18	28	18	17	14	15	9	11	7	13	10	8
2020/7/10	3	3	2	21	13	24	18	22	21	16	11	11	1	11	11	8
2020/7/17	4	6	1	19	18	23	18	16	21	16	11	15	6	11	6	5
2020/7/24	8	9	2	19	24	21	18	12	14	10	8	16	6	6	13	10
2020/7/31	8	9	1	18	23	19	18	9	21	13	8	16	6	6	11	10
2020/8/7	8	9	4	17	19	19	13	8	21	6	8	13	10	11	18	12
2020/8/14	11	9	4	13	19	19	7	8	14	6	8	10	14	18	18	18
2020/8/21	8	9	7	13	19	21	4	8	14	6	8	10	14	19	23	13
2020/8/28	10	12	7	12	23	25	4	4	7	5	6	16	14	19	19	13
2020/9/4	9	9	9	13	16	19	4	8	14	11	11	12	9	19	20	13
2020/9/11	10	8	8	13	10	22	4	8	14	11	11	10	15	26	14	12
2020/9/18	10	8	8	8	4	21	9	12	10	8	11	6	16	33	16	16
2020/9/25	10	9	5	13	11	23	12	11	10	8	5	12	16	28	9	14
2020/9/30	7	9	5	18	11	25	12	17	10	8	8	16	12	21	9	8
2020/10/9	7	7	3	23	14	19	8	24	10	14	8	18	11	14	8	8
2020/10/16	9	7	3	18	12	17	8	23	10	14	8	13	17	21	8	8
2020/10/23	11	7	1	15	12	22	8	20	3	8	3	13	24	27	11	11
2020/10/30	6	6	1	18	14	26	8	25	9	8	3	17	18	20	10	7
2020/11/6	6	7	1	18	14	26	3	25	11	12	6	19	17	13	15	3
