geneID	A_RC	A_RPKM	B_RC	B_RPKM	C_RC	C_RPKM	D_RC	D_RPKM
PSMB3	1200	80.84438	2533	102.2562	436	45.66848	2836	69.99014
PGM2L1	576	3.628453	326	1.230559	397	3.888222	798	1.841467
MTHFD2L	15	0.3355868	16	0.2144962	28	0.973942	92	0.7539864
SMIM20	332	17.55827	810	25.66934	201	16.52727	1633	31.63676
RNF213	4107	10.45948	3839	5.858537	1170	4.632682	6124	5.713239
SMAD7	928	20.8661	773	10.41499	235	8.215284	12752	105.0349
VMA21	1037	11.74218	1382	9.377001	148	2.605512	1350	5.599713
POLR2G	711	45.55393	1154	44.30451	95	9.463271	1574	36.94222
FAM171A1	917	12.44956	871	7.085796	90	1.899715	1388	6.902972
DBNDD1	49	1.132635	107	1.482052	285	10.24236	632	5.351467
LYSMD2	194	9.449224	142	4.144466	100	7.572788	289	5.156491
STK25	1986	46.38623	3240	45.34618	2125	77.16674	5159	44.14051
LETM1	1155	11.33997	757	4.453606	160	2.44237	1357	4.880585
SSX2IP	902	8.27285	284	1.56082	30	0.4277906	1588	5.335328
EXD2	522	5.465282	728	4.567298	117	1.904537	880	3.375101
UHRF1BP1	358	1.992981	497	1.657916	309	2.674484	401	0.8177612
GMPPB	393	12.48538	524	9.97531	66	3.259978	1150	13.38348
SLC20A2	797	10.80125	937	7.609237	2655	55.94247	1408	6.990051
VCPIP1	734	4.814341	729	2.865195	156	1.590841	493	1.18454
NDUFA10	1340	14.95212	2131	14.24844	1568	27.20229	3348	13.68502
MYDGF	3071	156.6963	5504	168.2842	72	5.711799	13871	259.2679
LIN7C	657	7.261499	642	4.251888	46	0.7904605	653	2.643846
ECE1	3841	39.30175	7003	42.93758	564	8.972388	7854	29.43882
CNOT11	813	17.31476	852	10.87305	212	7.019776	1281	9.993949
ZNF227	202	3.544702	358	3.764413	47	1.282294	286	1.838469
KIAA1549L	1687	7.785574	145	0.4009862	13	0.09327824	2421	4.092912
DOCK4	163	1.048604	169	0.6514732	161	1.610317	839	1.977188
COL5A2	9372	72.52383	27649	128.2076	144	1.732497	30045	85.16923
RFLNA	48	1.197249	1087	16.24646	46	1.783867	100	0.9137034
F8	195	1.157412	148	0.5263821	255	2.35318	422	0.9175463
SCHIP1	245	7.957941	164	3.192011	891	44.99598	400	4.759449
FAM171B	441	6.652435	197	1.780714	12	0.2814393	502	2.774009
CLTB	1196	37.4417	3039	57.00867	1125	54.75683	5829	66.84677
NEDD9	81	0.957621	1398	9.903796	317	5.82679	323	1.398857
CMIP	617	8.009615	631	4.908421	102	2.058676	1574	7.485025
PABPN1	418	7.226303	454	4.703072	190	5.106872	2321	14.69864
AEN	1179	20.29075	1364	14.06645	225	6.02044	2932	18.48461
BTBD10	782	16.6018	683	8.688703	104	3.432757	1082	8.41468
ZNF708	106	1.420045	90	0.7224778	46	0.95811	101	0.495655
TPK1	38	0.8355135	80	1.054013	20	0.6836933	325	2.617672
DCTN4	1922	26.37428	1610	13.2385	868	18.51861	3151	15.83936
GAS6	9453	199.9739	57350	726.981	707	23.2533	53937	417.9771
ANXA7	2561	56.86881	3674	48.88657	1559	53.82352	8281	67.36113
PYGB	2220	28.81904	3076	23.92758	111	2.240324	7359	34.99511
THY1	7893	141.422	63451	681.2388	12	0.3342856	80724	529.8338
ASPA	14	0.5294604	47	1.065097	41	2.410742	41	0.568004
SLC45A4	118	0.9064546	146	0.6720519	181	2.161743	229	0.6444089
NYNRIN	832	5.678691	972	3.975366	26	0.2759051	7459	18.64952
METTL5	449	30.09803	472	18.95918	220	22.92851	1101	27.03591
RNF166	229	4.992086	729	9.522697	208	7.049712	924	7.378713
SERPINE1	53845	905.183	3503	35.28719	1038	27.13	29810	183.5756
IRAK3	736	4.841078	376	1.481965	441	4.509872	917	2.209508
ANKMY1	47	1.008587	66	0.8486825	48	1.601467	188	1.477867
TMEM260	480	6.038201	680	5.125794	56	1.095256	964	4.442275
SLC44A2	2098	33.33599	5434	51.73845	992	24.50648	5730	33.35221
ZIK1	131	1.575136	137	0.9870821	12	0.2243311	51	0.2246358
NDUFB6	559	34.81692	777	28.99916	383	37.08846	1157	26.39818
NUSAP1	1907	42.45175	126	1.680743	50	1.730519	1676	13.66724
PCGF2	359	7.393246	1278	15.77094	20	0.6403717	1425	10.75023
C8orf4	30	0.8738747	128	2.234209	137	6.204545	22	0.2347538
PPP2R3A	1225	9.640857	740	3.489773	2974	36.38999	1343	3.871842
ZNF292	948	5.033484	609	1.937597	236	1.948201	1053	2.048098
PPIE	617	7.561179	1155	8.481492	184	3.505772	1103	4.951559
TMEM259	1972	39.0517	4930	58.50134	767	23.6151	8152	59.13699
FANCC	237	2.803164	183	1.296992	59	1.08496	250	1.083184
RGN	59	1.550211	165	2.597817	53	2.16509	101	0.9721249
RBP1	63	5.065198	123	5.925798	22	2.750046	25	0.7363052
CETN3	344	13.5844	422	9.985741	55	3.376806	592	8.563783
ASAH2B	266	4.291433	71	0.6863804	39	0.9782429	101	0.5969034
CAMSAP2	2266	16.44806	1439	6.25895	217	2.448928	1932	5.13717
FRS3	78	1.919637	178	2.625006	75	2.869771	307	2.767737
ASAP3	503	6.532882	2155	16.77143	439	8.864674	5833	27.75178
PDHA1	1344	21.9739	1135	11.11961	1292	32.84217	1814	10.86444
PPP4R1	2221	30.22204	1733	14.13057	345	7.298872	2147	10.70211
NLGN2	1128	13.02002	2782	19.24179	68	1.220317	5193	21.9575
MAST3	124	1.12841	282	1.537731	205	2.900418	421	1.403426
CCDC159	39	1.967492	136	4.111244	17	1.333395	250	4.62009
