geneID	A_RC	A_RPKM	B_RC	B_RPKM	C_RC	C_RPKM	D_RC	D_RPKM
LOC101928509	0	0	0	0	0	0	4	0.05917056
PSMB3	1200	80.84438	2533	102.2562	436	45.66848	2836	69.99014
PGM2L1	576	3.628453	326	1.230559	397	3.888222	798	1.841467
MTHFD2L	15	0.3355868	16	0.2144962	28	0.973942	92	0.7539864
WFDC2	1	0.09474695	0	0	0	0	0	0
MIR6769A	0	0	0	0	0	0	0	0
LOC102724084	0	0	0	0	0	0	0	0
SNORD116-15	0	0	0	0	0	0	0	0
RAMP3	0	0	0	0	53	3.280586	0	0
SNORD58A	0	0	0	0	0	0	0	0
NAA11	0	0	0	0	0	0	0	0
SMIM20	332	17.55827	810	25.66934	201	16.52727	1633	31.63676
RNF213	4107	10.45948	3839	5.858537	1170	4.632682	6124	5.713239
HCP5	6	0.1267273	0	0	40	1.313531	3	0.02321145
CST1	0	0	0	0	0	0	10	0.2584819
PLEKHS1	0	0	0	0	0	0	2	0.01209644
SMAD7	928	20.8661	773	10.41499	235	8.215284	12752	105.0349
LINC01170	0	0	0	0	0	0	0	0
RPEL1	1	0.02517689	0	0	0	0	0	0
VMA21	1037	11.74218	1382	9.377001	148	2.605512	1350	5.599713
POLR2G	711	45.55393	1154	44.30451	95	9.463271	1574	36.94222
FAM171A1	917	12.44956	871	7.085796	90	1.899715	1388	6.902972
ZNF8	59	1.431665	71	1.032366	4	0.1509075	127	1.128899
DBNDD1	49	1.132635	107	1.482052	285	10.24236	632	5.351467
LOC101927870	0	0	0	0	0	0	0	0
HIST1H2BA	0	0	0	0	0	0	0	0
CCDC179	0	0	0	0	0	0	0	0
LYSMD2	194	9.449224	142	4.144466	100	7.572788	289	5.156491
C6orf58	0	0	7	0.1872935	0	0	0	0
STK25	1986	46.38623	3240	45.34618	2125	77.16674	5159	44.14051
APOBEC3A	0	0	0	0	46	2.759219	0	0
RGPD4-AS1	0	0	0	0	0	0	0	0
LETM1	1155	11.33997	757	4.453606	160	2.44237	1357	4.880585
IL2	0	0	0	0	0	0	0	0
LOC105369921	0	0	0	0	0	0	0	0
SNORA70E	0	0	0	0	0	0	0	0
MIR887	0	0	0	0	0	0	0	0
PCDHA10	5	0.09927208	3	0.03569146	0	0	14	0.1018233
LINC01504	0	0	3	0.04639202	15	0.6018508	51	0.4821347
CH17-360D5.1	0	0	0	0	0	0	0	0
SSX2IP	902	8.27285	284	1.56082	30	0.4277906	1588	5.335328
PEBP4	0	0	19	0.6829417	1512	141.0124	1	0.02197385
EXD2	522	5.465282	728	4.567298	117	1.904537	880	3.375101
UQCRBP1	0	0	0	0	0	0	1	0.02464821
OR52R1	0	0	0	0	0	0	0	0
UHRF1BP1	358	1.992981	497	1.657916	309	2.674484	401	0.8177612
TIGIT	0	0	0	0	2	0.05618355	0	0
BEGAIN	0	0	0	0	2	0.0623142	4	0.02936416
KRT81	2	0.05615369	0	0	0	0	4	0.04114057
GMPPB	393	12.48538	524	9.97531	66	3.259978	1150	13.38348
SLC20A2	797	10.80125	937	7.609237	2655	55.94247	1408	6.990051
VCPIP1	734	4.814341	729	2.865195	156	1.590841	493	1.18454
ACRBP	3	0.0853024	11	0.1874211	1	0.04420806	37	0.3853929
OR7E156P	0	0	0	0	0	0	0	0
TRPC3	28	0.4509158	30	0.2894973	1	0.02503796	27	0.1592807
NDUFA10	1340	14.95212	2131	14.24844	1568	27.20229	3348	13.68502
TTTY1B	0	0	0	0	0	0	0	0
TARP	0	0	0	0	3	0.2435533	0	0
MIR32	0	0	0	0	0	0	0	0
UTY	193	1.810384	0	0	0	0	0	0
GRXCR1	0	0	0	0	0	0	0	0
MYDGF	3071	156.6963	5504	168.2842	72	5.711799	13871	259.2679
LOC100506085	0	0	0	0	0	0	0	0
MAGI1-AS1	0	0	0	0	0	0	0	0
LIN7C	657	7.261499	642	4.251888	46	0.7904605	653	2.643846
ECE1	3841	39.30175	7003	42.93758	564	8.972388	7854	29.43882
LEXM	0	0	0	0	0	0	0	0
NECAB2	0	0	0	0	12	0.6229868	70	0.8562414
CNOT11	813	17.31476	852	10.87305	212	7.019776	1281	9.993949
ZNF227	202	3.544702	358	3.764413	47	1.282294	286	1.838469
SEC14L3	0	0	0	0	1	0.04000787	0	0
MIR4510	0	0	0	0	0	0	0	0
LINC00457	0	0	0	0	0	0	0	0
GJA3	13	0.1339381	8	0.04938975	0	0	9	0.03396765
KRTAP20-2	0	0	0	0	0	0	0	0
NOSTRIN	6	0.1652597	4	0.06601789	25	1.070575	36	0.3632288
CFAP157	7	0.2055791	3	0.05279443	0	0	8	0.08606626
KIAA1549L	1687	7.785574	145	0.4009862	13	0.09327824	2421	4.092912
DOCK4	163	1.048604	169	0.6514732	161	1.610317	839	1.977188
LOC399715	1	0.0180805	2	0.02166838	3	0.08433216	1	0.006623272
LINC01993	0	0	0	0	0	0	0	0
CSMD3	0	0	0	0	1	0.006405685	0	0
MIR621	0	0	0	0	0	0	0	0
TEX12	0	0	3	0.08426803	3	0.2186444	4	0.0686875
LOC102724058	1	0.07246862	0	0	0	0	2	0.05309358
COL5A2	9372	72.52383	27649	128.2076	144	1.732497	30045	85.16923
LACAT8	0	0	0	0	0	0	0	0
LINC01990	1	0.03606374	0	0	1	0.0560702	0	0
DMRTB1	0	0	0	0	0	0	0	0
MIR548AC	0	0	0	0	0	0	0	0
CLIC5	1	0.02613391	9	0.1409395	5056	205.4342	3	0.02872021
TTTY21B	0	0	0	0	0	0	0	0
RFLNA	48	1.197249	1087	16.24646	46	1.783867	100	0.9137034
KIR3DL1	0	0	0	0	0	0	0	0
F8	195	1.157412	148	0.5263821	255	2.35318	422	0.9175463
SCHIP1	245	7.957941	164	3.192011	891	44.99598	400	4.759449
NEB	18	0.03669297	4	0.004886031	130396	413.2721	12	0.008960942
TMEM5-AS1	9	0.8572664	3	0.1712302	0	0	43	1.500389
C1orf105	0	0	0	0	0	0	0	0
E2F2	104	1.073981	8	0.04950388	2	0.03211107	12	0.04539486
FAM171B	441	6.652435	197	1.780714	12	0.2814393	502	2.774009
LINC01012	1	0.0712175	0	0	0	0	0	0
CLTB	1196	37.4417	3039	57.00867	1125	54.75683	5829	66.84677
NEDD9	81	0.957621	1398	9.903796	317	5.82679	323	1.398857
MIR4320	0	0	0	0	0	0	0	0
PP14571	2	0.05317479	0	0	5	0.2066842	5	0.04869763
CMIP	617	8.009615	631	4.908421	102	2.058676	1574	7.485025
PABPN1	418	7.226303	454	4.703072	190	5.106872	2321	14.69864
CYP17A1	0	0	4	0.06873627	2	0.08917262	8	0.08404117
AEN	1179	20.29075	1364	14.06645	225	6.02044	2932	18.48461
LINC01136	0	0	0	0	23	0.6996195	0	0
FBXW4P1	1	0.02401557	0	0	1	0.03733829	17	0.149556
DBX1	0	0	0	0	0	0	1	0.01903549
ACOT11	112	1.888148	0	0	35	0.9173763	69	0.4261173
LOC105376331	0	0	0	0	0	0	0	0
BTBD10	782	16.6018	683	8.688703	104	3.432757	1082	8.41468
ZNF708	106	1.420045	90	0.7224778	46	0.95811	101	0.495655
GTF2IP12	2	0.114221	4	0.1368869	1	0.08879276	25	0.5230198
GRM8	1	0.01506793	0	0	0	0	0	0
TPK1	38	0.8355135	80	1.054013	20	0.6836933	325	2.617672
DCTN4	1922	26.37428	1610	13.2385	868	18.51861	3151	15.83936
GAS6	9453	199.9739	57350	726.981	707	23.2533	53937	417.9771
MIR4482	0	0	0	0	0	0	0	0
LINC01231	0	0	0	0	0	0	0	0
ANXA7	2561	56.86881	3674	48.88657	1559	53.82352	8281	67.36113
PYGB	2220	28.81904	3076	23.92758	111	2.240324	7359	34.99511
THY1	7893	141.422	63451	681.2388	12	0.3342856	80724	529.8338
ASPA	14	0.5294604	47	1.065097	41	2.410742	41	0.568004
SLC45A4	118	0.9064546	146	0.6720519	181	2.161743	229	0.6444089
PCDHA7	5	0.1131367	10	0.1355874	0	0	7	0.0580221
LINC00400	0	0	0	0	0	0	0	0
ALK	5	0.04279871	29	0.1487457	0	0	319	1.000261
LCE6A	0	0	0	0	0	0	0	0
SFT2D2	145	9.083975	340	12.76359	5	0.4870117	240	5.507839
GTF2A1L	3	0.1005502	50	1.004194	0	0	15	0.1841684
NYNRIN	832	5.678691	972	3.975366	26	0.2759051	7459	18.64952
METTL5	449	30.09803	472	18.95918	220	22.92851	1101	27.03591
LRRC4	149	2.155487	0	0	56	1.25953	341	1.807072
RNF166	229	4.992086	729	9.522697	208	7.049712	924	7.378713
ASCL5	1	0.03776534	0	0	0	0	2	0.02766849
GPR150	1	0.04109332	6	0.1477435	0	0	22	0.3311737
SERPINE1	53845	905.183	3503	35.28719	1038	27.13	29810	183.5756
HIST1H2BE	1	0.1232799	0	0	0	0	3	0.1354802
LOC100507437	18	0.6101656	36	0.7312462	0	0	142	1.763297
B3GALT5	13	0.2421494	0	0	0	0	8	0.05458735
SNORD115-3	0	0	0	0	0	0	0	0
LOC400867	0	0	0	0	3	0.06542746	1	0.005138536
GLRA1	0	0	0	0	0	0	0	0
LINC00645	0	0	0	0	1	0.02358597	7	0.03890024
IRAK3	736	4.841078	376	1.481965	441	4.509872	917	2.209508
ANKMY1	47	1.008587	66	0.8486825	48	1.601467	188	1.477867
GSTA5	0	0	0	0	0	0	0	0
LOC100506639	22	0.7621377	56	1.162478	2	0.1077214	95	1.205581
LOC100506804	0	0	5	0.123879	1	0.06428404	11	0.1666082
HCG14	0	0	0	0	0	0	0	0
LOC101929229	0	0	0	0	0	0	0	0
DCAF8L2	0	0	0	0	0	0	0	0
LINC01144	3	0.09408206	6	0.1127516	4	0.1950325	23	0.2642259
TMEM260	480	6.038201	680	5.125794	56	1.095256	964	4.442275
SLC44A2	2098	33.33599	5434	51.73845	992	24.50648	5730	33.35221
HHIPL1	269	1.952044	210	0.9131507	5	0.05641164	524	1.392934
C2orf71	0	0	0	0	0	0	1	0.002788053
ZIK1	131	1.575136	137	0.9870821	12	0.2243311	51	0.2246358
THSD7A	18	0.09119339	0	0	13	0.102399	10	0.01855893
POM121L9P	0	0	61	0.3752272	7	0.1117218	209	0.7859354
SNORA19	0	0	0	0	0	0	0	0
SERPINB3	0	0	0	0	0	0	0	0
NDUFB6	559	34.81692	777	28.99916	383	37.08846	1157	26.39818
NUSAP1	1907	42.45175	126	1.680743	50	1.730519	1676	13.66724
OR52K2	0	0	0	0	0	0	0	0
PCGF2	359	7.393246	1278	15.77094	20	0.6403717	1425	10.75023
MIR10B	0	0	0	0	0	0	0	0
C8orf4	30	0.8738747	128	2.234209	137	6.204545	22	0.2347538
PPP2R3A	1225	9.640857	740	3.489773	2974	36.38999	1343	3.871842
ZNF292	948	5.033484	609	1.937597	236	1.948201	1053	2.048098
PPIE	617	7.561179	1155	8.481492	184	3.505772	1103	4.951559
TMEM259	1972	39.0517	4930	58.50134	767	23.6151	8152	59.13699
LOC100506869	0	0	0	0	1	0.1975744	0	0
FANCC	237	2.803164	183	1.296992	59	1.08496	250	1.083184
RGN	59	1.550211	165	2.597817	53	2.16509	101	0.9721249
LOC105369632	0	0	0	0	0	0	0	0
GLUD1P3	14	0.8379184	7	0.2510485	7	0.6513781	84	1.841684
LOC101928279	4	0.08990239	0	0	0	0	22	0.1811323
RBP1	63	5.065198	123	5.925798	22	2.750046	25	0.7363052
MIR4695	0	0	0	0	0	0	0	0
SNORD115-35	0	0	0	0	0	0	0	0
LOC441025	0	0	0	0	0	0	0	0
PROSER3	97	2.42395	44	0.658856	5	0.19426	266	2.434981
C11orf44	0	0	0	0	0	0	4	0.02215351
CETN3	344	13.5844	422	9.985741	55	3.376806	592	8.563783
TEKT3	1	0.03005985	9	0.162112	0	0	23	0.2532659
LOC93429	4	0.1312773	0	0	1	0.05102595	2	0.02404483
REG3A	0	0	0	0	0	0	0	0
LINC01931	0	0	0	0	0	0	0	0
LAD1	0	0	0	0	60	1.762094	0	0
ASAH2B	266	4.291433	71	0.6863804	39	0.9782429	101	0.5969034
CYSLTR1	0	0	5	0.05975122	15	0.465097	0	0
KRTAP2-2	0	0	0	0	0	0	0	0
LOC101928436	1	0.03302141	0	0	1	0.05134015	7	0.0846751
CDK5R2	0	0	0	0	0	0	0	0
KDM4E	0	0	0	0	0	0	0	0
CAMSAP2	2266	16.44806	1439	6.25895	217	2.448928	1932	5.13717
OR7A5	0	0	0	0	0	0	0	0
FRS3	78	1.919637	178	2.625006	75	2.869771	307	2.767737
ASAP3	503	6.532882	2155	16.77143	439	8.864674	5833	27.75178
KLRB1	0	0	0	0	3	0.3380124	0	0
PDHA1	1344	21.9739	1135	11.11961	1292	32.84217	1814	10.86444
MIR3201	0	0	0	0	0	0	0	0
SLC22A2	0	0	0	0	0	0	0	0
PPP4R1	2221	30.22204	1733	14.13057	345	7.298872	2147	10.70211
NLGN2	1128	13.02002	2782	19.24179	68	1.220317	5193	21.9575
MAST3	124	1.12841	282	1.537731	205	2.900418	421	1.403426
CCDC159	39	1.967492	136	4.111244	17	1.333395	250	4.62009
PEG3-AS1	4	0.1632474	0	0	4	0.2538094	2	0.02990049
NANP	396	5.589946	395	3.341146	19	0.4169917	377	1.949466
C1QTNF12	4	0.2056636	5	0.154047	2	0.159878	174	3.277243
RPAP1	562	6.437046	527	3.616986	353	6.286174	847	3.553823
RACK1	11311	546.9544	37281	1080.248	4367	328.3181	41121	728.4099
HSPG2	11780	44.05324	15722	35.2311	952	5.53517	30516	41.80442
UBL7-AS1	37	1.499766	32	0.7772446	12	0.7562485	64	0.9503068
SMAD2	1654	8.491163	2297	7.06608	376	3.001103	3113	5.854271
DPM1	961	49.93734	1215	37.83242	290	23.42941	1573	29.94282
IGLON5	0	0	0	0	0	0	3	0.01901093
LINC02001	50	3.250108	47	1.830676	23	2.324433	94	2.238297
VPS4B	1457	23.13032	1262	12.00514	93	2.295443	1952	11.35178
LINC01402	0	0	0	0	0	0	0	0
CD84	0	0	0	0	12	0.121599	0	0
MIR320D1	0	0	0	0	0	0	0	0
SUN1	1745	24.43309	3841	32.2265	1526	33.21994	6980	35.80143
ST8SIA2	131	1.248686	8	0.04569386	0	0	13	0.04539284
FAM32A	1330	48.45354	2847	62.15088	154	8.722802	3857	51.47372
RANBP3	1126	17.83863	2137	20.28679	251	6.182415	3322	19.27901
FANK1	30	1.241361	33	0.8182321	0	0	160	2.425262
BACE2	1220	7.451557	4600	16.83569	57	0.5412819	4643	10.38838
MED28	634	14.20191	1293	17.35569	151	5.258912	1316	10.7988
TTTY3B	0	0	0	0	0	0	0	0
TNFRSF10D	2368	35.89265	846	7.683872	286	6.739867	2052	11.39366
LOC100288203	83	2.257111	298	4.85598	34	1.437524	382	3.805399
C14orf1	504	17.55058	843	17.59035	70	3.789836	1931	24.63232
MIR6128	0	0	0	0	0	0	0	0
TONSL-AS1	5	0.2241922	12	0.3224168	0	0	44	0.7227119
MIR557	0	0	0	0	0	0	0	0
BUD13	369	10.96911	312	5.557579	59	2.726833	437	4.758703
LOC101928464	34	1.450525	104	2.658677	9	0.596967	95	1.484677
PRICKLE2-AS3	2	0.03469866	0	0	0	0	3	0.01906628
MLPH	55	0.864441	518	4.878522	20	0.4887245	35	0.2015128
PARD6B	0	0	0	0	3	0.05419917	4	0.01702676
LIN7A	83	0.7204633	275	1.430383	59	0.7962459	176	0.5596396
PRKD2	422	6.284504	752	6.710615	87	2.01437	1343	7.326501
SNORD116-16	0	0	0	0	0	0	0	0
ARVCF	60	0.7972266	434	3.455462	262	5.412442	663	3.227053
ZNF334	92	1.266016	50	0.4122941	5	0.1069751	148	0.7460622
RILPL1	310	5.736474	695	7.706444	574	16.51417	1569	10.63575
ANKRD46	118	2.275426	272	3.142936	397	11.90235	207	1.462221
PQBP1	433	30.513	968	40.87505	210	23.00794	1270	32.78407
SOX8	6	0.1055299	19	0.200246	7	0.1914184	128	0.8247005
DNAJC18	235	2.470069	755	4.755258	111	1.813951	720	2.772272
NAIF1	130	2.051642	314	2.969435	40	0.9814761	397	2.295149
LINC01568	0	0	0	0	0	0	1	0.01479264
SNORD23	0	0	0	0	0	0	0	0
SNORD114-23	0	0	0	0	0	0	0	0
ZNF225	113	1.305153	144	0.9966241	5	0.0897872	124	0.5246465
USH1G	0	0	0	0	0	0	2	0.0111776
DHRS13	80	2.233286	256	4.282331	28	1.215273	374	3.824617
TAX1BP1	2375	40.10189	3711	37.54724	899	23.60056	4771	29.51023
MIR3126	0	0	0	0	0	0	0	0
SLC7A3	0	0	0	0	0	0	0	0
TRPM8	0	0	0	0	0	0	4	0.01397945
LINC00562	3	0.06513374	2	0.0260196	0	0	4	0.03181316
MIR4757	0	0	0	0	0	0	0	0
ENTPD5	548	4.840631	346	1.831401	147	2.018832	727	2.352437
WT1	16	0.3535346	11	0.1456433	1	0.03435369	1	0.0080942
ING2	205	4.459833	242	3.154758	53	1.792677	365	2.908839
USP30	200	2.595681	435	3.382957	112	2.25996	593	2.819279
TMEM229A	0	0	0	0	0	0	0	0
LY6E	2424	111.0088	13730	376.7743	175	12.46018	18716	313.9785
CCNT2-AS1	15	0.5725279	13	0.2973272	11	0.652769	18	0.2516749
CLEC4G	0	0	0	0	1	0.06130617	0	0
PRSS53	27	0.713966	72	1.140859	5	0.2055631	171	1.656425
PUS10	87	1.215298	49	0.4101527	40	0.8687304	110	0.5628832
MIR6772	0	0	0	0	0	0	0	0
PCTP	265	6.56705	248	3.682663	85	3.274951	365	3.313442
SPG21	1505	44.05475	4064	71.28461	301	13.69885	5116	54.85912
SNAR-H	0	0	0	0	0	0	0	0
RNF216P1	327	7.769586	307	4.370935	40	1.47765	454	3.951555
TRPC7-AS2	0	0	0	0	0	0	0	0
TMEM130	10	0.19694	34	0.401235	0	0	38	0.2741446
ATP23	46	1.656704	353	7.618116	77	4.311607	328	4.327358
HACD3	3481	58.1904	4725	47.32984	37	0.9616355	4881	29.88947
MBD3L2	0	0	0	0	0	0	1	0.02538065
WDR33	959	14.29352	908	8.109467	313	7.253144	1680	9.172587
OR5I1	0	0	0	0	0	0	0	0
ERCC6	332	1.980653	637	2.277171	75	0.6956536	1231	2.690236
C5orf17	7	0.1890168	1	0.01618037	3	0.1259462	9	0.08902398
C1orf185	0	0	0	0	0	0	0	0
SNORD115-45	0	0	0	0	0	0	0	0
CAPS	21	0.5450931	65	1.010999	18	0.7264159	421	4.003091
DKKL1	2	0.1143428	2	0.06851643	1	0.08888742	22	0.4607481
MIR454	0	0	0	0	0	0	0	0
LINC01921	0	0	0	0	0	0	0	0
ARRB2	122	3.300942	250	4.053255	457	19.22453	451	4.470094
NIPSNAP1	759	21.035	1041	17.2877	9	0.3877972	2330	23.65477
COQ8A	182	3.337918	830	9.121543	10712	305.4473	1884	12.65748
TRIM42	0	0	0	0	0	0	0	0
GREB1L	120	0.6894379	0	0	152	1.357747	5	0.01052315
GRIK2	5	0.05839153	43	0.3009083	0	0	36	0.1540084
LINC02069	0	0	0	0	0	0	0	0
LINC00347	0	0	0	0	0	0	0	0
OR11H12	0	0	0	0	0	0	0	0
PYY	0	0	0	0	0	0	2	0.0371354
SIK1	0	0	3	0.02045896	0	0	220	0.9171938
GPR25	0	0	0	0	0	0	0	0
RPS29	798	127.3636	1921	183.7197	905	224.5704	5079	296.9496
SETD7	4378	31.90786	5151	22.49569	1731	19.61464	8571	22.88313
OR52M1	0	0	0	0	0	0	0	0
