#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
Cytokine-cytokine receptor interaction	KEGG PATHWAY	hsa04060	50	265	1.37E-10	3.67E-08	EGFR|IL2RB|VEGFD|PRLR|CXCL8|ACVR2A|IL20RB|CCL18|IL21R|TNFSF10|NGFR|CXCL5|TNFRSF10A|FLT3LG|CXCL16|CCL14|IL12A|CCL11|CNTF|IL15RA|KDR|CCR1|EGF|IL6|LEPR|VEGFB|CCL8|TNFRSF14|CSF3R|CCL2|INHBB|TGFB2|ACKR3|TNFRSF11B|TNFSF13B|IL1R2|IL7|IL11|IL7R|KIT|MET|CCL7|PDGFRB|TNFSF4|IL18R1|CXCL6|CSF1|IL24|RELT|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa04060/hsa:3601%09red/hsa:3569%09red/hsa:1230%09red/hsa:3589%09red/hsa:1270%09red/hsa:3953%09red/hsa:3560%09red/hsa:3815%09red/hsa:4804%09red/hsa:7292%09red/hsa:8797%09red/hsa:3625%09red/hsa:10673%09red/hsa:1441%09red/hsa:6374%09red/hsa:50615%09red/hsa:6355%09red/hsa:57007%09red/hsa:6347%09red/hsa:3576%09red/hsa:3592%09red/hsa:6362%09red/hsa:2277%09red/hsa:3791%09red/hsa:1950%09red/hsa:1956%09red/hsa:11009%09red/hsa:8743%09red/hsa:7850%09red/hsa:2323%09red/hsa:53833%09red/hsa:8764%09red/hsa:58191%09red/hsa:3575%09red/hsa:3574%09red/hsa:84957%09red/hsa:5159%09red/hsa:7423%09red/hsa:1435%09red/hsa:6372%09red/hsa:6358%09red/hsa:8809%09red/hsa:4982%09red/hsa:4233%09red/hsa:6354%09red/hsa:92%09red/hsa:6356%09red/hsa:7043%09red/hsa:7042%09red/hsa:5618%09red
Cell cycle	KEGG PATHWAY	hsa04110	32	124	4.49E-10	6.01E-08	RBL1|CDK1|CHEK1|BUB1|MCM3|CDC25C|PTTG1|MAD2L1|ESPL1|PKMYT1|PLK1|CDC25A|CCNB2|CCNE2|CCNA2|E2F2|CDC20|E2F1|TGFB2|MCM2|MCM5|MCM4|BUB1B|ORC6|ORC1|CDKN1C|TTK|CCND1|CDC45|CDC6|CCNB1|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa04110/hsa:983%09red/hsa:9088%09red/hsa:701%09red/hsa:5347%09red/hsa:595%09red/hsa:8318%09red/hsa:4998%09red/hsa:995%09red/hsa:1111%09red/hsa:1870%09red/hsa:9134%09red/hsa:9133%09red/hsa:4085%09red/hsa:9700%09red/hsa:993%09red/hsa:991%09red/hsa:990%09red/hsa:890%09red/hsa:891%09red/hsa:23594%09red/hsa:5933%09red/hsa:4174%09red/hsa:4172%09red/hsa:4173%09red/hsa:4171%09red/hsa:699%09red/hsa:7272%09red/hsa:1028%09red/hsa:7043%09red/hsa:7042%09red/hsa:9232%09red/hsa:1869%09red
Pathways in cancer	KEGG PATHWAY	hsa05200	57	399	6.26E-08	5.59E-06	BIRC3|FGF5|VEGFD|CEBPA|WNT4|AXIN2|FGF9|PTGS2|EGFR|FLT3LG|ITGA6|EGF|WNT2B|FZD4|AGTR1|FGF12|CXCL8|IGF1|TGFB2|E2F2|BMP4|FOS|IL6|VEGFB|FGF11|WNT7B|LPAR3|BIRC5|WNT2|CCNE2|WNT5A|JUP|FGF14|RAD51|DAPK1|FOXO1|FGFR2|PLCB1|PDGFRB|KIT|ITGA2|LPAR6|MET|CKS2|RASSF5|CCND1|EGLN3|FGF18|NTRK1|E2F1|BRCA2|CSF3R|TCF7|PTGER4|PTGER3|COL4A4|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa05200/hsa:3569%09red/hsa:2256%09red/hsa:10161%09red/hsa:3728%09red/hsa:3815%09red/hsa:595%09red/hsa:23236%09red/hsa:2250%09red/hsa:1441%09red/hsa:2323%09red/hsa:8322%09red/hsa:332%09red/hsa:6932%09red/hsa:330%09red/hsa:23566%09red/hsa:7477%09red/hsa:8817%09red/hsa:2259%09red/hsa:1870%09red/hsa:2254%09red/hsa:1612%09red/hsa:3479%09red/hsa:112399%09red/hsa:1050%09red/hsa:8313%09red/hsa:2277%09red/hsa:9134%09red/hsa:1950%09red/hsa:1956%09red/hsa:5888%09red/hsa:2353%09red/hsa:5743%09red/hsa:3655%09red/hsa:4914%09red/hsa:652%09red/hsa:7042%09red/hsa:3673%09red/hsa:3576%09red/hsa:5159%09red/hsa:675%09red/hsa:7423%09red/hsa:7472%09red/hsa:83593%09red/hsa:185%09red/hsa:54361%09red/hsa:1286%09red/hsa:1164%09red/hsa:4233%09red/hsa:7474%09red/hsa:7043%09red/hsa:7482%09red/hsa:2263%09red/hsa:5733%09red/hsa:1869%09red/hsa:5734%09red/hsa:2257%09red/hsa:2308%09red
Transcriptional misregulation in cancer	KEGG PATHWAY	hsa05202	33	179	2.87E-07	1.92E-05	IL2RB|PAX3|NUPR1|HOXA11|MPO|HIST1H3E|MYCN|CXCL8|NSD2|LMO2|ELANE|IGF1|BCL2A1|HIST1H3D|IL6|CEBPA|BIRC3|NGFR|PLAT|CD14|HOXA10|JUP|MAF|MMP3|FOXO1|IL1R2|MET|HMGA2|NTRK1|UTY|LYL1|ERG|ETV7	http://www.genome.jp/kegg-bin/show_pathway?hsa05202/hsa:3569%09red/hsa:5327%09red/hsa:3728%09red/hsa:3560%09red/hsa:8353%09red/hsa:4804%09red/hsa:8351%09red/hsa:4314%09red/hsa:4066%09red/hsa:330%09red/hsa:4005%09red/hsa:3479%09red/hsa:1050%09red/hsa:4613%09red/hsa:597%09red/hsa:26471%09red/hsa:7850%09red/hsa:4914%09red/hsa:5077%09red/hsa:1991%09red/hsa:3576%09red/hsa:51513%09red/hsa:7468%09red/hsa:7404%09red/hsa:929%09red/hsa:2078%09red/hsa:3207%09red/hsa:3206%09red/hsa:4233%09red/hsa:8091%09red/hsa:4094%09red/hsa:4353%09red/hsa:2308%09red
PI3K-Akt signaling pathway	KEGG PATHWAY	hsa04151	45	343	1.08E-05	0.000579164	EGFR|IL2RB|FGF5|VEGFD|PRLR|IGF1|PDGFRB|FGF9|TLR4|FGF18|ITGA6|EGF|ITGA9|MYB|KDR|TEK|IL6|TNXB|VEGFB|PPP2R2C|FGF11|NGFR|LPAR3|CSF3R|FGF12|CCNE2|EFNA3|FGF14|BRCA1|FGFR2|IL7|SPP1|IL7R|KIT|ITGA2|LPAR6|MET|ITGA10|CCND1|ITGB3|THBS1|CSF1|ITGA11|PDGFD|COL4A4	http://www.genome.jp/kegg-bin/show_pathway?hsa04151/hsa:3569%09red/hsa:2256%09red/hsa:10161%09red/hsa:3560%09red/hsa:3815%09red/hsa:595%09red/hsa:1441%09red/hsa:22801%09red/hsa:23566%09red/hsa:8817%09red/hsa:2259%09red/hsa:7099%09red/hsa:2257%09red/hsa:3479%09red/hsa:2250%09red/hsa:2277%09red/hsa:9134%09red/hsa:3791%09red/hsa:1950%09red/hsa:1956%09red/hsa:3690%09red/hsa:7010%09red/hsa:4804%09red/hsa:7148%09red/hsa:3655%09red/hsa:8515%09red/hsa:3673%09red/hsa:672%09red/hsa:2263%09red/hsa:3575%09red/hsa:3574%09red/hsa:5159%09red/hsa:7423%09red/hsa:5522%09red/hsa:1286%09red/hsa:80310%09red/hsa:1435%09red/hsa:3680%09red/hsa:4233%09red/hsa:2254%09red/hsa:4602%09red/hsa:1944%09red/hsa:7057%09red/hsa:6696%09red/hsa:5618%09red
DNA replication	KEGG PATHWAY	hsa03030	12	36	1.55E-05	0.000691159	RNASEH2A|MCM2|RFC3|MCM3|MCM5|LIG1|PRIM1|MCM4|POLE2|FEN1|DNA2|RFC4	http://www.genome.jp/kegg-bin/show_pathway?hsa03030/hsa:4174%09red/hsa:1763%09red/hsa:4172%09red/hsa:4173%09red/hsa:3978%09red/hsa:5427%09red/hsa:2237%09red/hsa:4171%09red/hsa:10535%09red/hsa:5557%09red/hsa:5983%09red/hsa:5984%09red
Rap1 signaling pathway	KEGG PATHWAY	hsa04015	32	216	2.47E-05	0.000906063	EGFR|FGF5|VEGFD|GNAO1|IGF1|P2RY1|FGF9|FGF18|EGF|TIAM1|GRIN2A|KDR|TEK|RASSF5|VEGFB|FGF11|NGFR|LPAR3|EFNA3|FGF12|FGF14|ID1|FGFR2|PLCB1|KIT|MET|ITGB2|PDGFRB|ITGB3|THBS1|CSF1|PDGFD	http://www.genome.jp/kegg-bin/show_pathway?hsa04015/hsa:5028%09red/hsa:3815%09red/hsa:4804%09red/hsa:23236%09red/hsa:23566%09red/hsa:2903%09red/hsa:8817%09red/hsa:2259%09red/hsa:2254%09red/hsa:2257%09red/hsa:3479%09red/hsa:2250%09red/hsa:7074%09red/hsa:2277%09red/hsa:3791%09red/hsa:1950%09red/hsa:1956%09red/hsa:3690%09red/hsa:7010%09red/hsa:3397%09red/hsa:5159%09red/hsa:7423%09red/hsa:83593%09red/hsa:3689%09red/hsa:80310%09red/hsa:1435%09red/hsa:2775%09red/hsa:4233%09red/hsa:1944%09red/hsa:7057%09red/hsa:2263%09red/hsa:2256%09red
HTLV-I infection	KEGG PATHWAY	hsa05166	36	259	2.70E-05	0.000906063	IL2RB|CHEK1|WNT4|PDGFRB|NFATC2|PTTG1|CRTC1|HLA-F|MYB|WNT2B|FZD4|MYBL1|ITGB2|CCNB2|IL15RA|FOSL1|MAD2L1|E2F2|CDC20|FOS|IL6|MYBL2|WNT7B|ICAM1|WNT2|WNT5A|TGFB2|POLE2|VCAM1|EGR2|IL1R2|BUB1B|HLA-C|CCND1|E2F1|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa05166/hsa:3601%09red/hsa:3569%09red/hsa:3383%09red/hsa:3560%09red/hsa:595%09red/hsa:23373%09red/hsa:8061%09red/hsa:7412%09red/hsa:7477%09red/hsa:7474%09red/hsa:7472%09red/hsa:1111%09red/hsa:701%09red/hsa:4773%09red/hsa:1870%09red/hsa:9133%09red/hsa:3107%09red/hsa:1959%09red/hsa:2353%09red/hsa:7850%09red/hsa:4605%09red/hsa:991%09red/hsa:7042%09red/hsa:5159%09red/hsa:8322%09red/hsa:54361%09red/hsa:3689%09red/hsa:4085%09red/hsa:5427%09red/hsa:4602%09red/hsa:4603%09red/hsa:7043%09red/hsa:7482%09red/hsa:9232%09red/hsa:1869%09red/hsa:3134%09red
Malaria	KEGG PATHWAY	hsa05144	13	48	4.34E-05	0.001293398	IL12A|TGFB2|MET|CXCL8|ITGB2|THBS1|VCAM1|ACKR1|CCL2|TLR4|ICAM1|IL6|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa05144/hsa:3689%09red/hsa:3569%09red/hsa:3383%09red/hsa:7099%09red/hsa:2532%09red/hsa:3592%09red/hsa:3576%09red/hsa:4233%09red/hsa:6347%09red/hsa:7057%09red/hsa:7043%09red/hsa:7042%09red/hsa:7412%09red
Hypertrophic cardiomyopathy (HCM)	KEGG PATHWAY	hsa05410	17	85	8.82E-05	0.002194399	ITGA9|ITGA2|ACTC1|TPM1|DES|MYH7|CACNB4|IGF1|ITGA10|TGFB2|ITGB3|MYL3|SGCA|IL6|ITGA11|ITGA6|TGFB3	http://www.genome.jp/kegg-bin/show_pathway?hsa05410/hsa:3569%09red/hsa:785%09red/hsa:3673%09red/hsa:3680%09red/hsa:3479%09red/hsa:4634%09red/hsa:6442%09red/hsa:4625%09red/hsa:7043%09red/hsa:7042%09red/hsa:3690%09red/hsa:7168%09red/hsa:22801%09red/hsa:8515%09red/hsa:70%09red/hsa:1674%09red/hsa:3655%09red
